hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Schilling,2759794
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Schilling,2759794
GREGORIAN:1681-05-25:1681-09-05,sightseeing,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1682-08-06:1682-08-16,sightseeing,-0.1275,51.507222222,London,Penny,2643743
GREGORIAN:1682-08-06:1682-08-17,sightseeing,-0.1275,51.507222222,London,Penny,2643743
GREGORIAN:1679-07-10:1680-02-16,stay,-0.579444444,44.837777777,Bordeaux,Reichsthaler,3031582
GREGORIAN:1679-07-06,tip,0.481944444,44.851111111,Bergerac,Sol,3033391
GREGORIAN:1682-08-04:1682-08-06,tip,0.368611111,51.441666666,Gravesend,Schilling,2648187
GREGORIAN:1681-05-03,toll,8.83278,50.7878,Schröck,Crown,2933101
GREGORIAN:1678-05-08,transportation,4.841388888,45.758888888,Lyon,Reichsthaler,2996944
GREGORIAN:1678-05-19,transportation,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1679-07-03:1679-07-06,transportation,0.481944444,44.851111111,Bergerac,Thaler,3033391
GREGORIAN:1679-07-10,transportation,-0.579444444,44.837777777,Bordeaux,Sol,3031582
GREGORIAN:1679-07-27,transportation,-0.223611111,44.566388888,Saint-Macaire,Sol,297866
GREGORIAN:1679-07-29,transportation,-0.318611111,44.636111111,Cadillac,Sol,3029253
GREGORIAN:1679-07-30:1679-07-31,transportation,-0.579444444,44.837777777,Bordeaux,Sol,3031582
GREGORIAN:1679-08-28:1680-10-08,transportation,-0.223611111,44.566388888,Saint-Macaire,Sol,297866
GREGORIAN:1680-02-16,transportation,-1.043055555,45.623055555,Royan,Sol,2982343
GREGORIAN:1680-02-17,transportation,-1.141666666,45.769444444,La Tremblade,Stüver,300617
GREGORIAN:1680-02-19,transportation,5.732222222,47.746388888,La Rochelle,Sol,3006787
GREGORIAN:1680-02-22,transportation,-0.949722222,46.437777777,Le Langon,Sol,3003726
GREGORIAN:1680-03-03,transportation,-0.078055555,47.259166666,Saumur,Sol,2975758
GREGORIAN:1680-05-08,transportation,6.176944444,49.119722222,Metz,Thaler,299416
GREGORIAN:1680-05-16,transportation,6.176944444,49.119722222,Metz,Thaler,299416
GREGORIAN:1680-05-18:1680-05-22,transportation,7.752222222,48.573333333,Strasbourg,Reichsthaler,2973783
GREGORIAN:1680-05-22,transportation,7.752222222,48.573333333,Strasbourg,Stüver,2973783
GREGORIAN:1680-05-22,transportation,7.752222222,48.573333333,Strasbourg,Thaler,2973783
GREGORIAN:1680-05-28,transportation,7.590555555,47.560555555,Basel,Thaler,2661604
GREGORIAN:1681-04-27,transportation,6.16,52.251111111,Deventer,Reichsthaler,2756987
GREGORIAN:1681-05-16,transportation,5.91111,51.98,Arnhem,Stüver,2759661
GREGORIAN:1681-05-16,transportation,5.91111,51.98,Arnhem,Stüver,2759661
GREGORIAN:1681-05-16:1681-05-17,transportation,6.16,52.251111111,Deventer,Stüver,2756987
GREGORIAN:1681-05-24,transportation,5.919722222,52.555,Kampen,Stüver,2753106
GREGORIAN:1681-05-25,transportation,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1681-07-03,transportation,5.54,53.1875,Franeker,Stüver,2755845
GREGORIAN:1681-07-03,transportation,5.783333333,53.2,Leeuwarden,Stüver,2751792
GREGORIAN:1681-07-05,transportation,4.640555555,52.380277777,Haarlem,Stüver,2755003
GREGORIAN:1681-07-05,transportation,4.49306,52.15833,Leiden,Stüver,2751773
GREGORIAN:1681-08-21,transportation,4.29861,52.07667,Den Haag,Stüver,2747373
GREGORIAN:1681-08-25:1681-08-26,transportation,5.4272,53.1736,Harlingen,Stüver,2754817
GREGORIAN:1681-08-26,transportation,5.54,53.1875,Franeker,Stüver,2755845
GREGORIAN:1681-08-26,transportation,5.4272,53.1736,Harlingen,Stüver,2754817
GREGORIAN:1681-08-29,transportation,5.9989,53.3253,Dokkum,Stüver,2756759
GREGORIAN:1681-08-30,transportation,6.5675,53.218888888,Groningen,Stüver,2755251
GREGORIAN:1682-03-20,transportation,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1682-07-16,transportation,4.35556,52.00667,Delft,Stüver,2757345
GREGORIAN:1682-07-16,transportation,4.47917,51.9225,Rotterdam,Stüver,2747891
GREGORIAN:1682-07-21,transportation,4.351666666,50.846666666,Brüssel,Stüver,2800866
GREGORIAN:1682-07-23,transportation,3.725277777,51.053611111,Gent,Stüver,2797656
GREGORIAN:1682-07-24,transportation,3.810022222,51.198702777,Zelzate,Stüver,2783278
GREGORIAN:1682-07-25,transportation,3.613611111,51.499722222,Middelburg,Stüver,2750896
GREGORIAN:1682-07-26,transportation,3.57361,51.4425,Vlissingen,Stüver,2745392
GREGORIAN:1682-07-27,transportation,3.224166666,51.208888888,Brügge,Stüver,2800931
GREGORIAN:1682-07-27,transportation,3.3883,51.3089,Sluis,Stüver,2747117
GREGORIAN:1682-07-27,transportation,3.3883,51.3089,Sluis,Stüver,2747117
GREGORIAN:1682-08-03,transportation,1.855555555,50.9475,Calais,Sol,3029162
GREGORIAN:1682-08-03,transportation,1.855555555,50.9475,Calais,Sol,3029162
GREGORIAN:1682-08-04,transportation,-0.6,51.483333333,Windsor,Schilling,2633842
GREGORIAN:1682-08-06,transportation,-0.1275,51.507222222,London,Stüver,2643743
GREGORIAN:1682-08-07,transportation,-0.1275,51.507222222,London,Schilling,2643743
GREGORIAN:1682-08-11,transportation,0.0,51.48,Greenwich,Penny,2647937
GREGORIAN:1682-08-11,transportation,-0.1275,51.507222222,London,Penny,2643743
GREGORIAN:1682-08-16:1682-08-28,transportation,10.0,53.55,Hamburg,Thaler,2911298
